"Gene.name" "Chromosome.scaffold.name" "Gene.start..bp." "Gene.end..bp." "p_values" "p_values_BH" "p_values_bf"
"ENSG00000005075" "POLR2J" 7 102473128 102478922 1 1 1
"ENSG00000005100" "DHX33" 17 5440917 5468982 1 1 1
"ENSG00000005102" "MEOX1" 17 43640389 43661922 1 1 1
"ENSG00000005108" "THSD7A" 7 11370365 11832198 7.17095566450347e-08 1.96758368806332e-06 0.00133795690788306
"ENSG00000005156" "LIG3" 17 34980512 35009743 1 1 1
"ENSG00000005175" "RPAP3" 12 47661249 47706030 1 1 1
"ENSG00000005187" "ACSM3" 16 20610243 20797581 0.724703928655548 1 1
"ENSG00000005189" "REXO5" 16 20806429 20849665 1.39602343669289e-07 3.57297740491302e-06 0.00260470052818159
"ENSG00000005194" "CIAPIN1" 16 57428187 57447420 1 1 1
"ENSG00000005206" "SPPL2B" 19 2328615 2355095 1 1 1
"ENSG00000005238" "ATOSB" 9 35104112 35116341 1 1 1
"ENSG00000005243" "COPZ2" 17 48026167 48038030 0.158435216349964 0.65925162057485 1
"ENSG00000005249" "PRKAR2B" 7 107044705 107161811 0.0196191675188837 0.11676377274875 1
"ENSG00000005339" "CREBBP" 16 3725054 3880713 1 1 1
"ENSG00000005379" "TSPOAP1" 17 58301228 58328795 0.888639865293109 1 1
"ENSG00000005381" "MPO" 17 58269855 58280935 0.0615869925111994 0.303514516992934 1
"ENSG00000005421" "PON1" 7 95297676 95324532 1 1 1
"ENSG00000005436" "GCFC2" 2 75652000 75710985 1 1 1
"ENSG00000005448" "WDR54" 2 74421678 74425755 1 1 1
"ENSG00000005469" "CROT" 7 87345664 87399794 1 1 1
"ENSG00000005471" "ABCB4" 7 87401696 87480435 0.0888564996439587 0.411181689076632 1
"ENSG00000005483" "KMT2E" 7 104940943 105115019 1 1 1
"ENSG00000005486" "RHBDD2" 7 75842602 75888926 1 1 1
"ENSG00000005513" "SOX8" 16 981444 986979 0.000917001286291985 0.00838285644274172 1
"ENSG00000005700" "IBTK" 6 82169986 82247754 1 1 1
"ENSG00000005801" "ZNF195" 11 3339261 3379222 1 1 1
"ENSG00000005810" "MYCBP2" 13 77042474 77327094 1 1 1
"ENSG00000005812" "FBXL3" 13 76992598 77027195 1 1 1
"ENSG00000005844" "ITGAL" 16 30472658 30523567 2.16747190213332e-05 0.000310127996549106 0.404406907500034
"ENSG00000005882" "PDK2" 17 50094737 50112152 1 1 1
"ENSG00000005884" "ITGA3" 17 50055968 50090481 1 1 1
"ENSG00000005961" "ITGA2B" 17 44372180 44389649 0.08514824711262 0.396579129961873 1
"ENSG00000005981" "ASB4" 7 95478444 95540233 0.000477638763200085 0.00476565991646374 1
"ENSG00000006007" "GDE1" 16 19501693 19522123 1 1 1
"ENSG00000006015" "REX1BD" 19 18588685 18592337 1 1 1
"ENSG00000006016" "CRLF1" 19 18572220 18607741 1 1 1
"ENSG00000006025" "OSBPL7" 17 47807372 47821803 1 1 1
"ENSG00000006042" "TMEM98" 17 32927910 32945106 0.0472561831377905 0.244307527011608 1
"ENSG00000006047" "YBX2" 17 7288263 7294639 0.0100660131038857 0.06652910821548 1
"ENSG00000006059" "KRT33A" 17 41346092 41350828 1 1 1
"ENSG00000006062" "MAP3K14" 17 45263119 45317029 1 1 1
"ENSG00000006071" "ABCC8" 11 17392498 17476894 0.529169851699787 1 1
"ENSG00000006116" "CACNG3" 16 24256335 24362412 0.591308362833512 1 1
"ENSG00000006118" "TMEM132A" 11 60924460 60937159 0.361976958457394 1 1
"ENSG00000006125" "AP2B1" 17 35578046 35726413 1 1 1
"ENSG00000006128" "TAC1" 7 97732084 97740472 0.000733558832985238 0.00692298467670135 1
"ENSG00000006194" "ZNF263" 16 3283283 3301401 1 1 1
"ENSG00000006210" "CX3CL1" 16 57372477 57385044 1 1 1
"ENSG00000006282" "SPATA20" 17 50543058 50555852 1 1 1
"ENSG00000006283" "CACNA1G" 17 50560715 50627474 1 1 1
"ENSG00000006327" "TNFRSF12A" 16 3018445 3022383 0.000383396338519871 0.00392828604289059 1
"ENSG00000006377" "DLX6" 7 97005553 97011040 4.65001146886169e-11 3.03356342608466e-09 8.67599139860214e-07
"ENSG00000006432" "MAP3K9" 14 70722526 70809534 1 1 1
"ENSG00000006451" "RALA" 7 39623565 39708120 1 1 1
"ENSG00000006453" "BAIAP2L1" 7 98291650 98401090 6.34999945277094e-12 5.15122999086088e-10 1.184782897898e-07
"ENSG00000006459" "KDM7A" 7 140084746 140176983 1 1 1
"ENSG00000006468" "ETV1" 7 13891229 13991425 0.066756342834192 0.324782228057459 1
"ENSG00000006530" "AGK" 7 141551278 141655244 1 1 1
"ENSG00000006534" "ALDH3B1" 11 68008578 68029282 0.000724005865788207 0.00684271126072162 1
"ENSG00000006555" "TTC22" 1 54779712 54801323 0.787243425145892 1 1
"ENSG00000006576" "PHTF2" 7 77798773 77957503 1 1 1
"ENSG00000006606" "CCL26" 7 75769533 75789896 1 1 1
"ENSG00000006607" "FARP2" 2 241356285 241494841 1 1 1
"ENSG00000006611" "USH1C" 11 17493895 17544416 1 1 1
"ENSG00000006625" "GGCT" 7 30496621 30504841 1 1 1
"ENSG00000006634" "DBF4" 7 87876216 87909553 1 1 1
"ENSG00000006638" "TBXA2R" 19 3594507 3606875 0.358409853476492 1 1
"ENSG00000006652" "IFRD1" 7 112422887 112481017 0.168778644682358 0.693322754840035 1
"ENSG00000006659" "LGALS14" 19 39704481 39709444 1.30511464066756e-11 9.77944938376518e-10 2.43508289655753e-07
"ENSG00000006695" "COX10" 17 14069490 14231736 1 1 1
"ENSG00000006704" "GTF2IRD1" 7 74453790 74602605 2.33621309534285e-08 7.42573491190919e-07 0.00043589063932907
"ENSG00000006712" "PAF1" 19 39385629 39391154 1 1 1
"ENSG00000006715" "VPS41" 7 38722974 38932394 1 1 1
"ENSG00000006740" "ARHGAP44" 17 12789498 12991643 0.553889017210767 1 1
"ENSG00000006744" "ELAC2" 17 12991612 13018065 1 1 1
"ENSG00000006747" "SCIN" 7 12570577 12660182 0.609768648283874 1 1
"ENSG00000006788" "MYH13" 17 10300865 10373130 0.121793790018204 0.530817223583191 1
"ENSG00000006831" "ADIPOR2" 12 1688574 1788674 1 1 1
"ENSG00000006837" "CDKL3" 5 134286350 134371047 1 1 1
"ENSG00000007001" "UPP2" 2 157876679 158136154 0.604345787955043 1 1
"ENSG00000007038" "PRSS21" 16 2817180 2826304 0.244051168348213 0.929157307328636 1
"ENSG00000007047" "MARK4" 19 45079288 45305284 1 1 1
"ENSG00000007062" "PROM1" 4 15963076 16084378 0.000113228137809708 0.00133878998431783 1
"ENSG00000007080" "CCDC124" 19 17933015 17943991 1 1 1
"ENSG00000007129" "CEACAM21" 19 41549518 41586844 0.868225516045251 1 1
"ENSG00000007168" "PAFAH1B1" 17 2593183 2685615 1 1 1
"ENSG00000007171" "NOS2" 17 27756766 27800529 0.109597179716393 0.488734268438925 1
"ENSG00000007174" "DNAH9" 17 11598470 11969748 0.201567832899124 0.795947645763354 1
"ENSG00000007202" "BLTP2" 17 28614446 28645454 1 1 1
"ENSG00000007216" "SLC13A2" 17 28473293 28497781 1 1 1
"ENSG00000007237" "GAS7" 17 9910606 10198606 0.126836163433248 0.549328954813727 1
"ENSG00000007255" "TRAPPC6A" 19 45162928 45178237 1 1 1
"ENSG00000007264" "MATK" 19 3777970 3802129 0.79175196096209 1 1
"ENSG00000007306" "CEACAM7" 19 41673303 41706976 1 1 1
"ENSG00000007312" "CD79B" 17 63928738 63932336 1 1 1
"ENSG00000007314" "SCN4A" 17 63938554 63972918 0.569353382110083 1 1
"ENSG00000007341" "ST7L" 1 112523514 112620825 1 1 1
"ENSG00000007372" "PAX6" 11 31784779 31817961 0.0777969991640377 0.368972142959485 1
"ENSG00000007376" "RPUSD1" 16 784974 788397 1 1 1
"ENSG00000007384" "RHBDF1" 16 58059 76355 0.00935099361583491 0.0627367273945515 1
"ENSG00000007392" "LUC7L" 16 188969 229463 1 1 1
"ENSG00000007402" "CACNA2D2" 3 50362613 50504244 6.6847397178729e-10 3.12591162045295e-08 1.24723873656073e-05
"ENSG00000007516" "BAIAP3" 16 1333638 1349439 0.0132060015905487 0.0835831104377201 1
"ENSG00000007520" "TSR3" 16 1349240 1351878 1 1 1
"ENSG00000007541" "PIGQ" 16 566995 584109 1 1 1
"ENSG00000007545" "CRAMP1" 16 1612337 1677908 1 1 1
"ENSG00000007866" "TEAD3" 6 35473597 35497079 0.368628127825762 1 1
"ENSG00000007908" "SELE" 1 169722640 169764705 0.146270265511993 0.616608814713686 1
"ENSG00000007923" "DNAJC11" 1 6634168 6701924 1 1 1
"ENSG00000007933" "FMO3" 1 171090901 171117819 0.281119158656102 1 1
"ENSG00000007944" "MYLIP" 6 16129086 16151367 0.157621113504044 0.656742906600815 1
"ENSG00000007968" "E2F2" 1 23506438 23531233 3.92299300634861e-14 5.90283899293971e-12 7.31952035124524e-10
"ENSG00000008018" "PSMB1" 6 170535120 170553307 1 1 1
"ENSG00000008083" "JARID2" 6 15246069 15522042 1 1 1
"ENSG00000008118" "CAMK1G" 1 209583714 209613939 1 1 1
"ENSG00000008128" "CDK11A" 1 1702379 1724357 1 1 1
"ENSG00000008130" "NADK" 1 1751232 1780457 1 1 1
"ENSG00000008196" "TFAP2B" 6 50818723 50847619 1 1 1
"ENSG00000008197" "TFAP2D" 6 50713526 50773033 1 1 1
"ENSG00000008226" "DLEC1" 3 38039205 38124025 0.0797626865446163 0.375811163017538 1
"ENSG00000008256" "CYTH3" 7 6161779 6272644 0.000846709524142283 0.00781687595321461 1
"ENSG00000008277" "ADAM22" 7 87934143 88202889 0.136826884204862 0.583123802077276 1
"ENSG00000008282" "SYPL1" 7 106090505 106112589 0.925329366965345 1 1
"ENSG00000008283" "CYB561" 17 63432304 63446354 1 1 1
"ENSG00000008294" "SPAG9" 17 50962174 51120868 1 1 1
"ENSG00000008300" "CELSR3" 3 48636463 48662886 0.684491411332265 1 1
"ENSG00000008311" "AASS" 7 122064583 122144308 0.0271328306352006 0.153407379997446 1
"ENSG00000008323" "PLEKHG6" 12 6310436 6328506 0.24637628883515 0.93680228185984 1
"ENSG00000008324" "SS18L2" 3 42581840 42596934 1 1 1
"ENSG00000008382" "MPND" 19 4343527 4360086 1 1 1
"ENSG00000008394" "MGST1" 12 16347142 16609259 0.137913584687932 0.586816798884252 1
"ENSG00000008405" "CRY1" 12 106991364 107093549 0.988429832511216 1 1
"ENSG00000008438" "PGLYRP1" 19 46019153 46023053 0.261470295719608 0.982580619846214 1
"ENSG00000008441" "NFIX" 19 12995475 13098796 0.0210336132688387 0.123643716562695 1
"ENSG00000008513" "ST3GAL1" 8 133454848 133571926 2.11267020050008e-10 1.12946133527021e-08 3.94182006009304e-06
"ENSG00000008516" "MMP25" 16 3046062 3060729 0.636662465835664 1 1
"ENSG00000008517" "IL32" 16 3065297 3082192 0.033566331244709 0.183157181926977 1
"ENSG00000008710" "PKD1" 16 2088708 2135898 1 1 1
"ENSG00000008735" "MAPK8IP2" 22 50600793 50613981 0.272153573909184 1 1
"ENSG00000008838" "MED24" 17 40019097 40061215 1 1 1
"ENSG00000008853" "RHOBTB2" 8 22987417 23020509 4.99861300134017e-07 1.12637827752421e-05 0.00932641213790049
"ENSG00000008869" "HEATR5B" 2 36968383 37084372 1 1 1
"ENSG00000008952" "SEC62" 3 169966635 169998373 1 1 1
"ENSG00000008988" "RPS20" 8 56067254 56074510 1 1 1
"ENSG00000009307" "CSDE1" 1 114716913 114758676 1 1 1
"ENSG00000009335" "UBE3C" 7 157138926 157269370 1 1 1
"ENSG00000009413" "REV3L" 6 111299028 111483715 1 1 1
"ENSG00000009709" "PAX7" 1 18630846 18748866 1 1 1
"ENSG00000009724" "MASP2" 1 11022009 11047239 1 1 1
"ENSG00000009765" "IYD" 6 150368892 150405969 1 1 1
"ENSG00000009780" "FAM76A" 1 27725961 27763116 1 1 1
"ENSG00000009790" "TRAF3IP3" 1 209756032 209782320 4.70183887758407e-07 1.06854136575794e-05 0.00877269097779637
"ENSG00000009830" "POMT2" 14 77274956 77320883 1 1 1
"ENSG00000009844" "VTA1" 6 142147162 142224685 1 1 1
"ENSG00000009950" "MLXIPL" 7 73593194 73624543 1 1 1
"ENSG00000009954" "BAZ1B" 7 73440406 73522293 1 1 1
"ENSG00000010017" "RANBP9" 6 13621498 13711835 1 1 1
"ENSG00000010030" "ETV7" 6 36354091 36387800 0.00416319010462012 0.0312080357460836 1
"ENSG00000010072" "SPRTN" 1 231337104 231355023 1 1 1
"ENSG00000010165" "METTL13" 1 171781660 171814023 1 1 1
"ENSG00000010219" "DYRK4" 12 4562208 4615302 1 1 1
"ENSG00000010244" "ZNF207" 17 32350132 32381885 1 1 1
"ENSG00000010256" "UQCRC1" 3 48599002 48610976 1 1 1
"ENSG00000010270" "STARD3NL" 7 38178245 38230670 1 1 1
"ENSG00000010278" "CD9" 12 6199715 6238271 0.170221982334693 0.698022361846307 1
"ENSG00000010282" "HHATL" 3 42692663 42702824 1 1 1
"ENSG00000010292" "NCAPD2" 12 6493356 6531955 1 1 1
"ENSG00000010295" "IFFO1" 12 6538961 6556073 1 1 1
"ENSG00000010310" "GIPR" 19 45668221 45683722 0.00261726631800647 0.0209943916428911 1
"ENSG00000010318" "PHF7" 3 52410660 52423641 1 1 1
"ENSG00000010319" "SEMA3G" 3 52433035 52445103 0.523727277070223 1 1
"ENSG00000010322" "NISCH" 3 52455118 52493068 1 1 1
"ENSG00000010327" "STAB1" 3 52495338 52524495 0.322263515048644 1 1
"ENSG00000010361" "FUZ" 19 49806866 49817376 1 1 1
"ENSG00000010379" "SLC6A13" 12 220621 262873 0.3439607618023 1 1
"ENSG00000010438" "PRSS3" 9 33750679 33799231 1 1 1
"ENSG00000010539" "ZNF200" 16 3222325 3236221 1 1 1
"ENSG00000010610" "CD4" 12 6786858 6820799 0.000937912484914927 0.00854888673353332 1
"ENSG00000010626" "LRRC23" 12 6873569 6914241 1 1 1
"ENSG00000010704" "HFE" 6 26087226 26098343 0.172791952157911 0.705923416545281 1
"ENSG00000010803" "SCMH1" 1 41027202 41242306 1 1 1
"ENSG00000010810" "FYN" 6 111660332 111873452 7.50227790973206e-05 0.000925777124601724 1
"ENSG00000010818" "HIVEP2" 6 142751469 142956698 1 1 1
"ENSG00000010932" "FMO1" 1 171248471 171285978 0.50263978127969 1 1
"ENSG00000011007" "ELOA" 1 23743448 23762059 1 1 1
"ENSG00000011009" "LYPLA2" 1 23791110 23795539 1 1 1
"ENSG00000011021" "CLCN6" 1 11806096 11848079 1 1 1
"ENSG00000011028" "MRC2" 17 62627670 62693597 0.0876825598609035 0.406859289202869 1
"ENSG00000011052" "NME1-NME2" 17 51153590 51171744 0.676840259640792 1 1
"ENSG00000011083" "SLC6A7" 5 150190062 150222788 1 1 1
"ENSG00000011105" "TSPAN9" 12 3077355 3286564 3.84837077708228e-07 8.90854863012421e-06 0.00718029019588011
"ENSG00000011114" "BTBD7" 14 93237550 93333092 1 1 1
"ENSG00000011132" "APBA3" 19 3750772 3761692 1 1 1
"ENSG00000011143" "MKS1" 17 58205441 58219605 1 1 1
"ENSG00000011198" "ABHD5" 3 43690108 43734371 1 1 1
"ENSG00000011243" "AKAP8L" 19 15380050 15419141 1 1 1
"ENSG00000011258" "MBTD1" 17 51177425 51260163 1 1 1
"ENSG00000011260" "UTP18" 17 51260546 51297936 1 1 1
"ENSG00000011275" "RNF216" 7 5620047 5781696 1 1 1
"ENSG00000011295" "TTC19" 17 15999784 16045015 1 1 1
"ENSG00000011304" "PTBP1" 19 797075 812327 1 1 1
"ENSG00000011332" "DPF1" 19 38211006 38229714 0.00737374077124745 0.0512590370007209 1
"ENSG00000011347" "SYT7" 11 61513714 61581148 1 1 1
"ENSG00000011376" "LARS2" 3 45388561 45554726 1 1 1
"ENSG00000011405" "PIK3C2A" 11 17077730 17207986 1 1 1
"ENSG00000011422" "PLAUR" 19 43646095 43670547 0.0565091297748995 0.282443916812666 1
"ENSG00000011426" "ANLN" 7 36389821 36453791 3.45571528498529e-08 1.04500382151144e-06 0.000644767357872556
"ENSG00000011451" "WIZ" 19 15419978 15449956 1 1 1
"ENSG00000011454" "RABGAP1" 9 122940833 123104866 1 1 1
"ENSG00000011465" "DCN" 12 91140484 91183217 0.00105645626808405 0.00952239664246963 1
"ENSG00000011478" "QPCTL" 19 45692403 45703989 1 1 1
"ENSG00000011485" "PPP5C" 19 46347087 46392981 1 1 1
"ENSG00000011523" "CEP68" 2 65056354 65087004 1 1 1
"ENSG00000011566" "MAP4K3" 2 39249266 39437301 1 1 1
"ENSG00000011590" "ZBTB32" 19 35704558 35717038 1.81055926665158e-05 0.000266625215447397 0.337814147971852
"ENSG00000011600" "TYROBP" 19 35904401 35908295 0.057328474170521 0.286151597397962 1
"ENSG00000011638" "LDAF1" 16 21158377 21180616 1 1 1
"ENSG00000012048" "BRCA1" 17 43044295 43170245 1.51191394477132e-05 0.00022749427727051 0.282092903815433
"ENSG00000012061" "ERCC1" 19 45407334 45478828 1 1 1
"ENSG00000012124" "CD22" 19 35319261 35347361 0.674612703023318 1 1
"ENSG00000012171" "SEMA3B" 3 50267558 50277546 0.697423047047048 1 1
"ENSG00000012223" "LTF" 3 46435645 46485234 0.0763045544746532 0.363014912985494 1
"ENSG00000012232" "EXTL3" 8 28600469 28756561 1 1 1
"ENSG00000012504" "NR1H4" 12 100473708 100564414 1 1 1
"ENSG00000012660" "ELOVL5" 6 53267398 53349179 1 1 1
"ENSG00000012779" "ALOX5" 10 45374176 45446119 0.00119867469909184 0.0106600917710465 1
"ENSG00000012822" "CALCOCO1" 12 53708517 53727745 1 1 1
"ENSG00000012963" "UBR7" 14 93207241 93229215 1 1 1
"ENSG00000012983" "MAP4K5" 14 50418501 50561126 1 1 1
"ENSG00000013016" "EHD3" 2 31234152 31269451 1.2265602286984e-07 3.18734829346167e-06 0.00228851607470548
"ENSG00000013275" "PSMC4" 19 39971165 39981764 1 1 1
"ENSG00000013288" "MAN2B2" 4 6575189 6623362 1 1 1
"ENSG00000013293" "SLC7A14" 3 170459548 170586075 1 1 1
"ENSG00000013297" "CLDN11" 3 170418868 170454733 1 1 1
"ENSG00000013306" "SLC25A39" 17 44319625 44324870 1 1 1
"ENSG00000013364" "MVP" 16 29820394 29848039 1 1 1
"ENSG00000013374" "NUB1" 7 151341772 151378449 0.000142386197749221 0.00164192934338996 1
"ENSG00000013375" "PGM3" 6 83147324 83193936 1 1 1
"ENSG00000013392" "RWDD2A" 6 83193357 83198935 1 1 1
"ENSG00000013441" "CLK1" 2 200853009 200864691 1 1 1
"ENSG00000013503" "POLR3B" 12 106357748 106510198 1 1 1
"ENSG00000013523" "ANGEL1" 14 76781733 76826246 1 1 1
"ENSG00000013561" "RNF14" 5 141958328 141990292 1 1 1
"ENSG00000013573" "DDX11" 12 31073860 31104799 1 1 1
"ENSG00000013583" "HEBP1" 12 12974870 13000265 0.672875732329397 1 1
"ENSG00000013588" "GPRC5A" 12 12890782 12917937 0.0150784326708228 0.0936217626529823 1
"ENSG00000013725" "CD6" 11 60971680 61020377 0.00282897133650139 0.0223751365817901 1
"ENSG00000013810" "TACC3" 4 1712858 1745171 1 1 1
"ENSG00000014123" "UFL1" 6 96521595 96555276 1 1 1
"ENSG00000014138" "POLA2" 11 65261913 65305959 1 1 1
"ENSG00000014164" "ZC3H3" 8 143437659 143541447 1 1 1
"ENSG00000014216" "CAPN1" 11 65180566 65212006 1 1 1
"ENSG00000014257" "ACP3" 3 132317369 132368302 2.82993341140739e-05 0.00039551234149842 0.52800897590039
"ENSG00000014641" "MDH1" 2 63588609 63607197 1 1 1
"ENSG00000014824" "SLC30A9" 4 41990502 42090461 1 1 1
"ENSG00000014914" "MTMR11" 1 149928651 149936879 1.72142968626421e-09 7.32360896736115e-08 3.21184350863177e-05
"ENSG00000014919" "COX15" 10 99710868 99732127 1 1 1
"ENSG00000015133" "CCDC88C" 14 91271323 91417844 1 1 1
"ENSG00000015153" "YAF2" 12 42157104 42238349 1 1 1
"ENSG00000015171" "ZMYND11" 10 130088 254637 1 1 1
"ENSG00000015413" "DPEP1" 16 89613308 89638456 0.0108143832988839 0.0704799470274049 1
"ENSG00000015475" "BID" 22 17734138 17774770 1 1 1
"ENSG00000015479" "MATR3" 5 139293674 139331677 1 1 1
"ENSG00000015520" "NPC1L1" 7 44512535 44541330 0.215236562544125 0.8382141064388 1
"ENSG00000015532" "XYLT2" 17 50346126 50363138 1 1 1
"ENSG00000015568" "RGPD5" 2 109792758 109857705 0.548905038494898 1 1
"ENSG00000015592" "STMN4" 8 27235308 27258420 1 1 1
"ENSG00000015676" "NUDCD3" 7 44379119 44490658 1 1 1
"ENSG00000016082" "ISL1" 5 51383448 51394730 1 1 1
"ENSG00000016391" "CHDH" 3 53812335 53846419 0.652596803546815 1 1
"ENSG00000016402" "IL20RA" 6 136999971 137045180 1 1 1
"ENSG00000016490" "CLCA1" 1 86468368 86500259 1 1 1
"ENSG00000016602" "CLCA4" 1 86547078 86580754 0.822000746820013 1 1
"ENSG00000016864" "GLT8D1" 3 52694486 52706032 1 1 1
"ENSG00000017260" "ATP2C1" 3 130850595 131016712 1 1 1
"ENSG00000017427" "IGF1" 12 102395874 102481744 1 1 1
"ENSG00000017797" "RALBP1" 18 9475009 9538114 1 1 1
"ENSG00000018189" "RUFY3" 4 70704204 70808619 1 1 1
"ENSG00000018236" "CNTN1" 12 40692439 41072415 0.116600095463207 0.512370367676051 1
"ENSG00000018280" "SLC11A1" 2 218382029 218396894 0.521158711614637 1 1
"ENSG00000018408" "WWTR1" 3 149517235 149736714 0.217787862510483 0.846206984323323 1
"ENSG00000018510" "AGPS" 2 177392746 177567024 1 1 1
"ENSG00000018625" "ATP1A2" 1 160115759 160143591 0.927387450141377 1 1
"ENSG00000018699" "TTC27" 2 32628032 32821051 1 1 1
"ENSG00000018869" "ZNF582" 19 56375846 56393538 0.0184287353153962 0.111204186130227 1
"ENSG00000019102" "VSIG2" 11 124747474 124752255 0.0169142152899137 0.103166207544691 1
"ENSG00000019144" "PHLDB1" 11 118606440 118658031 0.000121301899968913 0.00142522093804785 1
"ENSG00000019169" "MARCO" 2 118942194 118994660 0.439300603040997 1 1
"ENSG00000019186" "CYP24A1" 20 54153446 54173986 1 1 1
